Date,Low,Open,Volume,High,Close,Adjusted Close
09-09-2019,2.930000067,3,17386300,3.140000105,3.140000105,3.140000105
10-09-2019,3.069999933,3.130000114,20848800,3.329999924,3.319999933,3.319999933
11-09-2019,3.160000086,3.279999971,13619900,3.329999924,3.269999981,3.269999981
12-09-2019,3.099999905,3.24000001,10957800,3.269999981,3.190000057,3.190000057
13-09-2019,3.150000095,3.220000029,8371700,3.269999981,3.210000038,3.210000038
16-09-2019,3.089999914,3.150000095,12374900,3.210000038,3.119999886,3.119999886
17-09-2019,3,3.109999895,12905800,3.180000067,3.180000067,3.180000067
18-09-2019,3.029999971,3.210000038,12519200,3.210000038,3.079999924,3.079999924
19-09-2019,3.079999924,3.119999886,8733200,3.160000086,3.099999905,3.099999905
20-09-2019,3.019999981,3.140000105,11999300,3.160000086,3.039999962,3.039999962
23-09-2019,2.710000038,2.980000019,40356100,2.980000019,2.720000029,2.720000029
24-09-2019,1.970000029,2.220000029,122194400,2.24000001,2.170000076,2.170000076
25-09-2019,2.019999981,2.150000095,38938700,2.150000095,2.049999952,2.049999952
26-09-2019,1.899999976,2.049999952,50967800,2.059999943,1.960000038,1.960000038
27-09-2019,1.710000038,1.940000057,59824600,2,1.75,1.75
30-09-2019,1.529999971,1.720000029,58815600,1.730000019,1.559999943,1.559999943
01-10-2019,1.220000029,1.50999999,88123600,1.50999999,1.320000052,1.320000052
02-10-2019,1.190000057,1.190000057,98992700,1.649999976,1.590000033,1.590000033
03-10-2019,1.429999948,1.590000033,58630100,1.700000048,1.639999986,1.639999986
04-10-2019,1.559999943,1.600000024,25240300,1.690000057,1.620000005,1.620000005
07-10-2019,1.450000048,1.580000043,26893500,1.590000033,1.549999952,1.549999952
08-10-2019,1.659999967,1.730000019,47085000,1.799999952,1.700000048,1.700000048
09-10-2019,1.580000043,1.75,35848200,1.75999999,1.639999986,1.639999986
10-10-2019,1.5,1.639999986,33950800,1.639999986,1.529999971,1.529999971
11-10-2019,1.5,1.549999952,25648800,1.590000033,1.559999943,1.559999943
14-10-2019,1.519999981,1.559999943,12534600,1.570000052,1.529999971,1.529999971
15-10-2019,1.539999962,1.629999995,25901200,1.639999986,1.549999952,1.549999952
16-10-2019,1.399999976,1.460000038,40687000,1.519999981,1.460000038,1.460000038
17-10-2019,1.419999957,1.460000038,18373300,1.5,1.460000038,1.460000038
18-10-2019,1.440000057,1.450000048,21393400,1.549999952,1.519999981,1.519999981
21-10-2019,1.49000001,1.519999981,40155200,1.769999981,1.690000057,1.690000057
22-10-2019,1.519999981,1.700000048,38944000,1.769999981,1.580000043,1.580000043
23-10-2019,1.519999981,1.580000043,12246400,1.600000024,1.529999971,1.529999971
24-10-2019,1.529999971,1.570000052,21567700,1.600000024,1.539999962,1.539999962
25-10-2019,1.5,1.539999962,20444900,1.559999943,1.50999999,1.50999999
28-10-2019,1.379999995,1.429999948,32675500,1.5,1.480000019,1.480000019
29-10-2019,1.389999986,1.450000048,22312000,1.450000048,1.389999986,1.389999986
30-10-2019,1.360000014,1.419999957,20769100,1.450000048,1.429999948,1.429999948
31-10-2019,1.440000057,1.470000029,22381000,1.539999962,1.450000048,1.450000048
01-11-2019,1.49000001,1.49000001,17957200,1.549999952,1.519999981,1.519999981
04-11-2019,1.580000043,1.649999976,61083000,1.899999976,1.710000038,1.710000038
05-11-2019,1.799999952,1.879999995,183556700,2.380000114,2.339999914,2.339999914
06-11-2019,1.960000038,2.460000038,113933700,2.460000038,2.029999971,2.029999971
07-11-2019,2.049999952,2.109999895,39411800,2.200000048,2.069999933,2.069999933
08-11-2019,1.940000057,2.130000114,38341600,2.130000114,1.980000019,1.980000019
11-11-2019,1.779999971,1.899999976,34228400,1.960000038,1.860000014,1.860000014
12-11-2019,1.830000043,1.899999976,27818000,2.049999952,1.940000057,1.940000057
13-11-2019,1.850000024,1.899999976,24969400,1.99000001,1.899999976,1.899999976
14-11-2019,1.659999967,1.860000014,46683200,1.889999986,1.75,1.75
15-11-2019,1.659999967,1.75,32003800,1.840000033,1.799999952,1.799999952
18-11-2019,1.730000019,1.879999995,25996000,1.899999976,1.799999952,1.799999952
19-11-2019,1.779999971,1.779999971,26780800,1.889999986,1.830000043,1.830000043
20-11-2019,1.769999981,1.850000024,20728500,1.870000005,1.840000033,1.840000033
21-11-2019,1.820000052,1.870000005,41394200,2.039999962,1.980000019,1.980000019
